Description,log2_diff,p
"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens OX=9606 GN=BPNT1 PE=1 SV=1",0.056624333,0.467108755
Protein O-glucosyltransferase 2 OS=Homo sapiens OX=9606 GN=KDELC1 PE=1 SV=1,0.056574,0.576183228
Dehydrodolichyl diphosphate synthase complex subunit DHDDS (Fragment) OS=Homo sapiens OX=9606 GN=DHDDS PE=1 SV=1,0.05591,0.722777971
Ras-related protein Rab-1A OS=Homo sapiens OX=9606 GN=RAB1A PE=1 SV=3,0.05533,0.144766443
Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,0.054743333,0.216648975
tRNA 2'-phosphotransferase 1 (Fragment) OS=Homo sapiens OX=9606 GN=TRPT1 PE=1 SV=1,0.054443333,0.648392698
Zinc transporter ZIP6 OS=Homo sapiens OX=9606 GN=SLC39A6 PE=1 SV=3,0.054236667,0.66903136
Zinc transporter 7 OS=Homo sapiens OX=9606 GN=SLC30A7 PE=2 SV=1,0.054133333,0.267333541
"Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1",0.05399,0.400947641
RNA-binding protein PNO1 OS=Homo sapiens OX=9606 GN=PNO1 PE=1 SV=1,0.053396667,0.711898079
Histone H2AX OS=Homo sapiens OX=9606 GN=H2AFX PE=1 SV=2,0.053136667,0.577626473
60S ribosomal protein L5 (Fragment) OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=1,0.053075127,0.353885295
Aladin OS=Homo sapiens OX=9606 GN=AAAS PE=1 SV=1,0.051723967,0.163530259
Coiled-coil domain-containing protein 127 OS=Homo sapiens OX=9606 GN=CCDC127 PE=1 SV=1,0.051256333,0.478810524
Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens OX=9606 GN=FKBP2 PE=1 SV=2,0.050593333,0.66775911
"ATP synthase F(0) complex subunit C1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MC1 PE=1 SV=2",0.050570667,0.514867442
Transmembrane protein 135 OS=Homo sapiens OX=9606 GN=TMEM135 PE=2 SV=2,0.050275333,0.214304943
40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,0.05023,0.497861854
Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3,0.049358667,0.50937825
Oxysterol-binding protein-related protein 8 OS=Homo sapiens OX=9606 GN=OSBPL8 PE=1 SV=3,0.048706667,0.306810925
Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=2,0.048606667,0.381910438
Bombesin receptor-activated protein C6orf89 OS=Homo sapiens OX=9606 GN=C6orf89 PE=1 SV=1,0.04843,0.636845082
FAS-associated factor 2 OS=Homo sapiens OX=9606 GN=FAF2 PE=1 SV=2,0.048083333,0.465872783
Prostaglandin E synthase 2 OS=Homo sapiens OX=9606 GN=PTGES2 PE=1 SV=1,0.047586667,0.464159878
Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=1,0.047203333,0.546431746
Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,0.046846667,0.720099397
Protein O-glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POGLUT1 PE=1 SV=1,0.04668,0.617582911
Nicotinamide N-methyltransferase OS=Homo sapiens OX=9606 GN=NNMT PE=1 SV=1,0.04661,0.778273835
Ceramide synthase 6 OS=Homo sapiens OX=9606 GN=CERS6 PE=1 SV=1,0.04654,0.654268944
ADP-ribosylation factor-like protein 1 OS=Homo sapiens OX=9606 GN=ARL1 PE=1 SV=1,0.046487,0.644453984
"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX3 PE=1 SV=3",0.04619,0.65670154
Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1,0.045946667,0.398777954
Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1,0.045567,0.711702348
DnaJ homolog subfamily C member 25 OS=Homo sapiens OX=9606 GN=DNAJC25 PE=1 SV=1,0.044343333,0.745938227
Zinc finger protein castor homolog 1 OS=Homo sapiens OX=9606 GN=CASZ1 PE=1 SV=4,0.044313333,0.793870185
Transmembrane protein 19 (Fragment) OS=Homo sapiens OX=9606 GN=TMEM19 PE=1 SV=1,0.044083333,0.563257217
Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,0.043983333,0.76313262
Mitochondrial calcium uniporter regulator 1 OS=Homo sapiens OX=9606 GN=MCUR1 PE=1 SV=1,0.043616667,0.54032377
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens OX=9606 GN=PDK2 PE=1 SV=2",0.043443333,0.498245543
Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1,0.042766667,0.328005857
Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=2,0.042039,0.339056384
Complex III assembly factor LYRM7 OS=Homo sapiens OX=9606 GN=LYRM7 PE=1 SV=1,0.04149,0.692355721
Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1,0.041426667,0.780547188
Sarcolemmal membrane-associated protein OS=Homo sapiens OX=9606 GN=SLMAP PE=1 SV=1,0.04121,0.758105834
Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,0.041153333,0.482283367
"Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2",0.04076,0.546816051
Protein canopy homolog 3 OS=Homo sapiens OX=9606 GN=CNPY3 PE=1 SV=1,0.040609,0.784057676
Rho-related GTP-binding protein RhoG OS=Homo sapiens OX=9606 GN=RHOG PE=1 SV=1,0.040572,0.537023317
"2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1",0.039646667,0.630530444
ADP-ribosylation factor 5 (Fragment) OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=1,0.039146667,0.827711934
Cardiolipin synthase (CMP-forming) OS=Homo sapiens OX=9606 GN=CRLS1 PE=1 SV=1,0.03768,0.689988149
Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1,0.037359583,0.760094384
Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4,0.037301333,0.824041701
Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2,0.037297,0.69593045
SPRY domain-containing protein 4 OS=Homo sapiens OX=9606 GN=SPRYD4 PE=1 SV=2,0.037093333,0.579028943
B-cell receptor-associated protein 31 OS=Homo sapiens OX=9606 GN=BCAP31 PE=1 SV=3,0.037026667,0.365316184
Uncharacterized aarF domain-containing protein kinase 1 OS=Homo sapiens OX=9606 GN=ADCK1 PE=1 SV=2,0.035919,0.577601134
Torsin-1A-interacting protein 2 OS=Homo sapiens OX=9606 GN=TOR1AIP2 PE=1 SV=1,0.035213529,0.72524855
Plasminogen receptor (KT) OS=Homo sapiens OX=9606 GN=PLGRKT PE=1 SV=1,0.0351,0.437554254
Receptor expression-enhancing protein 5 OS=Homo sapiens OX=9606 GN=REEP5 PE=1 SV=3,0.03488,0.669787926
"Transmembrane protein 70, mitochondrial OS=Homo sapiens OX=9606 GN=TMEM70 PE=1 SV=2",0.034832,0.782134452
"GrpE protein homolog 1, mitochondrial OS=Homo sapiens OX=9606 GN=GRPEL1 PE=1 SV=2",0.0346,0.573430937
"High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1",0.034526667,0.670724263
Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 GN=GAA PE=1 SV=4,0.034403333,0.352411658
Metaxin-1 OS=Homo sapiens OX=9606 GN=MTX1 PE=1 SV=3,0.034366667,0.733559792
U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens OX=9606 GN=SNRPB2 PE=1 SV=1,0.033856667,0.81475193
Palmitoyltransferase OS=Homo sapiens OX=9606 GN=ZDHHC6 PE=1 SV=1,0.033803333,0.540392213
Regulatory-associated protein of mTOR OS=Homo sapiens OX=9606 GN=RPTOR PE=1 SV=1,0.033513333,0.816528106
"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",0.033463333,0.611879992
Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,0.03329,0.791945761
Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3,0.03314,0.846627366
"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBADH PE=1 SV=2",0.032976667,0.633475231
Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1,0.03296315,0.72056673
"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",0.03289,0.677177694
Lysophospholipid acyltransferase 7 OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=2,0.032883867,0.594360508
Dehydrogenase/reductase SDR family member 7B OS=Homo sapiens OX=9606 GN=DHRS7B PE=1 SV=1,0.032406333,0.692929145
PHD finger-like domain-containing protein 5A OS=Homo sapiens OX=9606 GN=PHF5A PE=1 SV=1,0.032276667,0.875381812
NADH-cytochrome b5 reductase 1 OS=Homo sapiens OX=9606 GN=CYB5R1 PE=1 SV=1,0.03142,0.423014656
FAD-linked sulfhydryl oxidase ALR OS=Homo sapiens OX=9606 GN=GFER PE=1 SV=2,0.031156667,0.727976376
Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1,0.030963333,0.518498494
Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1,0.030826667,0.789900268
Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1,0.030823333,0.80536019
40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,0.030271333,0.840537688
E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2,0.029596667,0.659650389
Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=1,0.029523333,0.444840505
Cleft lip and palate transmembrane protein 1-like protein OS=Homo sapiens OX=9606 GN=CLPTM1L PE=1 SV=1,0.029506667,0.263885741
Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2,0.02945,0.442783937
Phosphatidate cytidylyltransferase 2 OS=Homo sapiens OX=9606 GN=CDS2 PE=1 SV=1,0.029183333,0.689467392
Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2,0.029046667,0.88288192
Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens OX=9606 GN=FKBP10 PE=1 SV=1,0.027413333,0.845924703
"Oligoribonuclease, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=1",0.02708,0.688175219
Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,0.026703333,0.667796566
Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2,0.026475,0.85907673
Solute carrier family 35 member F6 OS=Homo sapiens OX=9606 GN=SLC35F6 PE=1 SV=1,0.026446667,0.809975977
ORM1-like protein 2 OS=Homo sapiens OX=9606 GN=ORMDL2 PE=1 SV=1,0.026143333,0.901893875
Zinc transporter SLC39A7 OS=Homo sapiens OX=9606 GN=SLC39A7 PE=1 SV=2,0.025979,0.741931532
Protoporphyrinogen oxidase OS=Homo sapiens OX=9606 GN=PPOX PE=1 SV=1,0.025957333,0.767791934
Mortality factor 4-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=MORF4L1 PE=1 SV=1,0.025357667,0.851565214
Endoplasmic reticulum junction formation protein lunapark OS=Homo sapiens OX=9606 GN=LNPK PE=1 SV=2,0.025293333,0.755077081
Mitochondrial fission regulator 1 OS=Homo sapiens OX=9606 GN=MTFR1 PE=1 SV=2,0.025032667,0.583301895
Metaxin-2 OS=Homo sapiens OX=9606 GN=MTX2 PE=1 SV=1,0.02503,0.706885499
STIM1L OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=1,0.023583333,0.823279308
High affinity copper uptake protein 1 OS=Homo sapiens OX=9606 GN=SLC31A1 PE=1 SV=1,0.023496667,0.832325568
Two pore calcium channel protein 1 OS=Homo sapiens OX=9606 GN=TPCN1 PE=1 SV=1,0.023489333,0.826490028
Endoribonuclease YbeY OS=Homo sapiens OX=9606 GN=YBEY PE=1 SV=2,0.023396667,0.706614531
Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens OX=9606 GN=OSTC PE=1 SV=1,0.022224,0.677540255
Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens OX=9606 GN=FKBP8 PE=1 SV=2,0.021513333,0.801663963
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Homo sapiens OX=9606 GN=AGPAT3 PE=1 SV=1,0.021007333,0.779213245
"Elongation factor G, mitochondrial OS=Homo sapiens OX=9606 GN=GFM1 PE=1 SV=2",0.02099,0.788786378
DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,0.02083,0.872237373
DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1,0.020266667,0.906069629
Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1,0.020236667,0.734612897
Small integral membrane protein 11A OS=Homo sapiens OX=9606 GN=SMIM11A PE=2 SV=1,0.019966667,0.866767645
Vacuolar protein sorting-associated protein 45 OS=Homo sapiens OX=9606 GN=VPS45 PE=1 SV=1,0.019891333,0.823335761
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB2 PE=1 SV=1",0.019853333,0.915726166
"Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2",0.019843333,0.627327455
"HLA-B associated transcript 3, isoform CRA_a OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1",0.019676667,0.92041938
Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,0.019553667,0.916962509
Coiled-coil domain-containing protein 58 OS=Homo sapiens OX=9606 GN=CCDC58 PE=1 SV=1,0.01934,0.756127489
Transport and Golgi organization protein 1 homolog OS=Homo sapiens OX=9606 GN=MIA3 PE=1 SV=1,0.019163333,0.742161572
Ras-related protein Rab-6C OS=Homo sapiens OX=9606 GN=RAB6C PE=1 SV=2,0.01906,0.906554096
RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,0.01888042,0.825860339
Thioredoxin-related transmembrane protein 2 OS=Homo sapiens OX=9606 GN=TMX2 PE=1 SV=1,0.018550667,0.740088907
Solute carrier family 41 member 3 (Fragment) OS=Homo sapiens OX=9606 GN=SLC41A3 PE=1 SV=1,0.018353333,0.810008308
Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=1,0.018123333,0.917765819
"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=HADH PE=1 SV=3",0.017886667,0.779801628
Elongation of very long chain fatty acids protein 5 OS=Homo sapiens OX=9606 GN=ELOVL5 PE=1 SV=1,0.017823333,0.825597173
Metal transporter CNNM2 OS=Homo sapiens OX=9606 GN=CNNM2 PE=1 SV=2,0.017456667,0.911471815
General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2,0.0169994,0.930298123
Phosphatidylserine synthase 2 OS=Homo sapiens OX=9606 GN=PTDSS2 PE=1 SV=1,0.016866667,0.895141098
Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3,0.0165608,0.961744484
Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1,0.01648,0.76535587
"Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",0.016176667,0.812286991
Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,0.01608,0.870437189
Syndecan OS=Homo sapiens OX=9606 GN=SDC2 PE=1 SV=1,0.015936667,0.928875071
40S ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=1,0.015697,0.892662792
"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1",0.01558,0.851603699
Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2,0.015407333,0.894602862
SPRY domain-containing protein 7 OS=Homo sapiens OX=9606 GN=SPRYD7 PE=1 SV=2,0.015186667,0.714223166
MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1,0.014833333,0.974457076
Dedicator of cytokinesis protein 2 OS=Homo sapiens OX=9606 GN=DOCK2 PE=1 SV=2,0.014537333,0.815213338
"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",0.01407,0.840574692
Mitochondrial chaperone BCS1 OS=Homo sapiens OX=9606 GN=BCS1L PE=1 SV=1,0.013976667,0.867246454
PDZ domain-containing protein 8 OS=Homo sapiens OX=9606 GN=PDZD8 PE=1 SV=1,0.0137,0.724806426
tRNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,0.012673333,0.928046723
Xyloside xylosyltransferase 1 OS=Homo sapiens OX=9606 GN=XXYLT1 PE=1 SV=1,0.012660301,0.834621806
Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5,0.012463333,0.826168469
Inactive C-alpha-formylglycine-generating enzyme 2 OS=Homo sapiens OX=9606 GN=SUMF2 PE=1 SV=2,0.012383333,0.949350161
"Paraoxonase 2, isoform CRA_a OS=Homo sapiens OX=9606 GN=PON2 PE=1 SV=1",0.012343333,0.899743555
Melanoma inhibitory activity protein 2 OS=Homo sapiens OX=9606 GN=MIA2 PE=1 SV=1,0.011973333,0.824805747
"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3",0.011796667,0.829876517
Ran-binding protein 6 OS=Homo sapiens OX=9606 GN=RANBP6 PE=1 SV=2,0.011684667,0.882735332
Coatomer subunit zeta-1 OS=Homo sapiens OX=9606 GN=COPZ1 PE=1 SV=1,0.01068,0.947089748
LYR motif-containing protein 2 OS=Homo sapiens OX=9606 GN=LYRM2 PE=1 SV=1,0.010352333,0.869197093
Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4,0.009945233,0.947851883
"Cytochrome c oxidase assembly protein COX18, mitochondrial OS=Homo sapiens OX=9606 GN=COX18 PE=1 SV=1",0.009926433,0.946340748
Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,0.00961,0.855262972
E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,0.008616667,0.891481517
Lipid droplet-associated hydrolase OS=Homo sapiens OX=9606 GN=LDAH PE=1 SV=1,0.008283333,0.942312942
Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1,0.008076667,0.957180809
Keratinocyte-associated protein 2 OS=Homo sapiens OX=9606 GN=KRTCAP2 PE=1 SV=2,0.007799,0.928862615
Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,0.006952667,0.93737876
CCR4-NOT transcription complex subunit 7 OS=Homo sapiens OX=9606 GN=CNOT7 PE=1 SV=3,0.00685,0.924561696
DNA topoisomerase 3-alpha OS=Homo sapiens OX=9606 GN=TOP3A PE=1 SV=1,0.00621,0.965028135
Bcl-2 homologous antagonist/killer OS=Homo sapiens OX=9606 GN=BAK1 PE=1 SV=1,0.00613,0.929074633
Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,0.00604,0.97261605
Dehydrogenase/reductase SDR family member 4 OS=Homo sapiens OX=9606 GN=DHRS4 PE=1 SV=3,0.005853333,0.948672659
Cytochrome b-245 chaperone 1 OS=Homo sapiens OX=9606 GN=CYBC1 PE=1 SV=1,0.005616667,0.982952599
ADP-ribosylation factor-like protein 8A OS=Homo sapiens OX=9606 GN=ARL8A PE=1 SV=1,0.00531,0.949485608
FAS-associated factor 1 OS=Homo sapiens OX=9606 GN=FAF1 PE=1 SV=2,0.005214333,0.978915428
Ceramide synthase 5 (Fragment) OS=Homo sapiens OX=9606 GN=CERS5 PE=1 SV=2,0.005203333,0.852703936
Cytochrome P450 20A1 OS=Homo sapiens OX=9606 GN=CYP20A1 PE=1 SV=1,0.004966667,0.961595356
40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,0.004264,0.962814255
Protein O-glucosyltransferase 3 OS=Homo sapiens OX=9606 GN=KDELC2 PE=1 SV=2,0.004257333,0.971641468
Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,0.004255333,0.93873457
Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens OX=9606 GN=PCMT1 PE=1 SV=4,0.003404633,0.921450771
Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,0.003386667,0.987661337
Transmembrane protein 126A OS=Homo sapiens OX=9606 GN=TMEM126A PE=1 SV=1,0.003311667,0.969303203
Protein RER1 OS=Homo sapiens OX=9606 GN=RER1 PE=1 SV=1,0.003028333,0.942145034
"Citramalyl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=CLYBL PE=1 SV=2",0.002976667,0.960325018
"Twinkle protein, mitochondrial OS=Homo sapiens OX=9606 GN=TWNK PE=1 SV=1",0.002613333,0.986730902
Transmembrane protein 186 OS=Homo sapiens OX=9606 GN=TMEM186 PE=2 SV=1,0.0024281,0.982241057
tRNA dimethylallyltransferase OS=Homo sapiens OX=9606 GN=TRIT1 PE=1 SV=1,0.002423333,0.984420328
Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens OX=9606 GN=DDX20 PE=1 SV=2,0.002186667,0.98075075
PHD finger protein 10 OS=Homo sapiens OX=9606 GN=PHF10 PE=1 SV=3,0.001753333,0.986350461
Syntaxin-17 OS=Homo sapiens OX=9606 GN=STX17 PE=1 SV=2,0.001505,0.983180844
Ubiquinol-cytochrome-c reductase complex assembly factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=UQCC2 PE=1 SV=1,0.000246667,0.997383965
Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1,-0.000626667,0.990599582
Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3,-0.000834,0.993046613
Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,-0.001969233,0.986223374
Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS PE=1 SV=3,-0.0024,0.937871859
Coiled-coil domain-containing protein 134 OS=Homo sapiens OX=9606 GN=CCDC134 PE=1 SV=1,-0.002989333,0.969770978
Prolactin regulatory element-binding protein OS=Homo sapiens OX=9606 GN=PREB PE=1 SV=2,-0.00359,0.907541495
Dehydrogenase/reductase SDR family member 1 OS=Homo sapiens OX=9606 GN=DHRS1 PE=1 SV=1,-0.004330267,0.944646158
Nucleoporin-like protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=NUPL2 PE=1 SV=1,-0.004613333,0.967609817
GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POFUT1 PE=1 SV=1,-0.004768667,0.979018909
Sec1 family domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SCFD2 PE=1 SV=2,-0.005316667,0.961688446
Ras-related protein Rab-11B OS=Homo sapiens OX=9606 GN=RAB11B PE=1 SV=4,-0.00541,0.935453762
Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2,-0.005553333,0.851786881
High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,-0.005612667,0.971700591
Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2,-0.005613333,0.983079035
Sigma intracellular receptor 2 OS=Homo sapiens OX=9606 GN=TMEM97 PE=1 SV=1,-0.005909333,0.926894056
Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 OS=Homo sapiens OX=9606 GN=NMNAT3 PE=1 SV=2,-0.00699,0.96725104
Vacuolar protein sorting-associated protein 13A OS=Homo sapiens OX=9606 GN=VPS13A PE=1 SV=2,-0.00732,0.865919144
Protein NipSnap homolog 3A OS=Homo sapiens OX=9606 GN=NIPSNAP3A PE=1 SV=2,-0.007486667,0.898090976
"Polypyrimidine tract binding protein 1, isoform CRA_b OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=4",-0.007737333,0.954483992
Transmembrane protein 147 OS=Homo sapiens OX=9606 GN=TMEM147 PE=1 SV=1,-0.008534667,0.934590321
ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2,-0.008667667,0.950014387
Retinol dehydrogenase 14 OS=Homo sapiens OX=9606 GN=RDH14 PE=1 SV=1,-0.008735333,0.854902108
Mitochondrial antiviral-signaling protein OS=Homo sapiens OX=9606 GN=MAVS PE=1 SV=2,-0.009506667,0.900885314
Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2,-0.009603333,0.929624818
Sideroflexin-1 OS=Homo sapiens OX=9606 GN=SFXN1 PE=1 SV=4,-0.009603333,0.941363246
Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2,-0.0099,0.836264504
Insulin receptor OS=Homo sapiens OX=9606 GN=INSR PE=1 SV=4,-0.010416667,0.922556852
SYNJ2BP-COX16 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=SYNJ2BP-COX16 PE=4 SV=1,-0.010606667,0.880675639
Very-long-chain 3-oxoacyl-CoA reductase OS=Homo sapiens OX=9606 GN=HSD17B12 PE=1 SV=2,-0.01085,0.858292627
Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2,-0.01179,0.841577189
TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,-0.011813333,0.955154567
"28S ribosomal protein S36, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS36 PE=1 SV=2",-0.011873333,0.95263919
"Cisplatin resistance related protein CRR9p, isoform CRA_c OS=Homo sapiens OX=9606 GN=CLPTM1L PE=1 SV=1",-0.01247,0.950285665
Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens OX=9606 GN=TOMM7 PE=1 SV=1,-0.012523333,0.791671887
